,price,year,mileage,price range
348,5630,2017,27195.0,Low price
350,2800,2019,20849.0,Low price
352,8850,2015,143818.0,Low price
353,18712,2017,67347.0,Middle price
356,6300,2017,117400.0,Low price
357,2220,2010,1.0,Low price
358,6930,2019,47798.0,Low price
359,25,2008,130623.0,Low price
360,3440,2015,124542.0,Low price
361,50412,2017,47129.0,High price
362,25,1994,206162.0,Low price
363,950,2001,229886.0,Low price
364,9270,2017,19490.0,Low price
365,11380,2019,12038.0,Middle price
366,5350,2019,43536.0,Low price
367,2725,2004,308451.0,Low price
368,3790,2015,100893.0,Low price
369,40514,2017,90304.0,High price
372,9190,2017,31394.0,Low price
373,10330,2019,25933.0,Middle price
374,1000,2008,118250.0,Low price
375,2925,2013,46060.0,Low price
376,3830,2015,50593.0,Low price
377,43402,2017,62387.0,High price
378,1025,2009,169634.0,Low price
379,17200,2016,72527.0,Middle price
380,54680,2016,9502.0,High price
381,6940,2010,217290.0,Low price
382,13080,2019,17243.0,Middle price
383,25,2007,194903.0,Low price
384,10630,2015,82899.0,Middle price
385,43009,2017,76418.0,High price
386,25,2003,138441.0,Low price
387,4600,2006,240740.0,Low price
388,4950,2016,71404.0,Low price
389,3760,2019,30382.0,Low price
390,3900,2009,179389.0,Low price
392,3830,2015,82534.0,Low price
393,53500,2017,55732.0,High price
394,25,2010,198596.0,Low price
395,25,1998,300021.0,Low price
396,6240,2015,83623.0,Low price
397,4150,2014,108895.0,Low price
398,25,1999,226972.0,Low price
399,61200,2020,7509.0,High price
401,13500,2014,33542.0,Middle price
402,6490,2015,74754.0,Low price
403,51502,2017,27661.0,High price
404,250,2010,115241.0,Low price
405,25,1984,41577.0,Low price
406,8160,2015,109027.0,Low price
407,7770,2014,72732.0,Low price
408,200,2001,126400.0,Low price
409,25,2008,177422.0,Low price
411,1825,2008,77984.0,Low price
412,39800,2017,23177.0,High price
413,9210,2015,26911.0,Low price
414,58500,2019,21527.0,High price
415,125,2014,56461.0,Low price
416,3960,2015,95128.0,Low price
417,5998,2014,122975.0,Low price
418,3700,2014,162824.0,Low price
422,5000,2012,140339.0,Low price
423,15050,2019,26786.0,Middle price
424,3960,2019,35623.0,Low price
425,36300,2019,14541.0,High price
426,55600,2020,8186.0,High price
427,2630,2018,36739.0,Low price
428,5690,2017,42616.0,Low price
429,19500,2017,65833.0,Middle price
430,450,2008,123515.0,Low price
431,20400,2015,36122.0,Middle price
432,4320,2011,88359.0,Low price
433,33001,2017,35905.0,High price
434,10000,2017,35747.0,Middle price
436,5790,2012,105020.0,Low price
437,14750,2019,11047.0,Middle price
438,4010,2019,31233.0,Low price
439,40000,2019,19427.0,High price
440,13000,2017,71991.0,Middle price
441,3550,2018,29043.0,Low price
442,3040,2017,36064.0,Low price
444,36400,2015,47213.0,High price
445,4480,2011,116480.0,Low price
446,31003,2017,72084.0,High price
447,75,2001,295780.0,Low price
448,8850,2011,148035.0,Low price
449,14750,2019,11396.0,Middle price
450,4690,2019,33785.0,Low price
451,23000,2018,20103.0,Middle price
452,46900,2018,32387.0,High price
453,10740,2018,48140.0,Middle price
454,3160,2017,34861.0,Low price
456,3450,2011,114119.0,Low price
457,27102,2017,34165.0,Middle price
458,500,2018,27442.0,Low price
459,5100,2011,144792.0,Low price
460,15010,2019,11394.0,Middle price
461,5800,2019,30546.0,Low price
462,23200,2018,23745.0,Middle price
463,8000,2015,88274.0,Low price
464,3390,2018,38349.0,Low price
465,3140,2017,30142.0,Low price
466,25,2007,267834.0,Low price
467,15000,2014,44730.0,Middle price
468,10440,2011,92476.0,Middle price
469,23911,2017,25698.0,Middle price
470,25,2010,155242.0,Low price
471,21400,2018,54332.0,Middle price
472,5380,2011,119215.0,Low price
473,11000,2019,8930.0,Middle price
474,4950,2019,46985.0,Low price
